Instances,,,SamplingCA's 2-wise CA,,,,CAmpactor's 2-wise CA,
,,Total,Cov,Uncov,,Total,Cov,Uncov
XSEngine,,2327972654.0,2312025988.9,15946665.1,,2327972654.0,2264556755.5,63415898.5
aaed2000,,2444568255.0,2430316315.5,14251939.5,,2444568255.0,2388765432.0,55802823.0
adder,,2402432536.0,2385678921.6,16753614.4,,2402432536.0,2336114945.8,66317590.2
adderII,,2425797217.0,2409329350.1,16467866.9,,2425797217.0,2358136234.4,67660982.6
aeb,,2034914860.0,2020831562.2,14083297.8,,2034914860.0,1975834585.1,59080274.9
aim711,,2340712354.0,2325433416.7,15278937.3,,2340712354.0,2274577038.6,66135315.4
aki3068net,,2036614115.0,2022342514.9,14271600.1,,2036614115.0,1977472615.8,59141499.2
am31_sim,,1808691009.0,1795628475.4,13062533.6,,1808691009.0,1756017889.9,52673119.1
asb,,2136106174.0,2120945280.1,15160893.9,,2136106174.0,2074946482.7,61159691.3
asb2305,,2172462086.0,2157474862.6,14987223.4,,2172462086.0,2110036985.0,62425101.0
assabet,,2285520619.0,2269605231.2,15915387.8,,2285520619.0,2219859511.7,65661107.3
at91sam7sek,,2443618092.0,2426594851.6,17023240.4,,2443618092.0,2373821560.7,69796531.3
at91sam7xek,,2620295826.0,2602815130.5,17480695.5,,2620295826.0,2548561107.9,71734718.1
atlas_mips32_4kc,,2081563953.0,2066731158.1,14832794.9,,2081563953.0,2023548588.9,58015364.1
atlas_mips64_5kc,,2044116455.0,2029420709.7,14695745.3,,2044116455.0,1987412430.3,56704024.7
axtls,,916254.0,876136.6,40117.4,,916254.0,858174.7,58079.3
brutus,,2070055492.0,2055733351.5,14322140.5,,2070055492.0,2010972598.2,59082893.8
buildroot,,228204016.0,224141146.7,4062869.3,,228204016.0,209435122.5,18768893.5
busybox_1_28_0,,1295475693.0,1291778342.6,3697350.4,,1295475693.0,1254407963.2,41067729.8
calm16_ceb,,1845931912.0,1833008380.1,12923531.9,,1845931912.0,1792253572.8,53678339.2
calm32_ceb,,1845931912.0,1832902705.6,13029206.4,,1845931912.0,1791805335.1,54126576.9
ceb_v850,,1933546623.0,1919306493.1,14240129.9,,1933546623.0,1877730342.5,55816280.5
cerf,,2383438036.0,2366804028.5,16634007.5,,2383438036.0,2318305830.0,65132206.0
cerfpda,,2470824874.0,2453212932.5,17611941.5,,2470824874.0,2403694788.1,67130085.9
cma230,,2029926181.0,2015204447.0,14721734.0,,2029926181.0,1970223900.4,59702280.6
cma28x,,2002993138.0,1988622045.9,14371092.1,,2002993138.0,1945719522.4,57273615.6
cme555,,2339087503.0,2322210716.0,16876787.0,,2339087503.0,2271639072.8,67448430.2
cq7708,,2162133499.0,2148943907.8,13189591.2,,2162133499.0,2108176570.7,53956928.3
cq7750,,2291557328.0,2275904826.3,15652501.7,,2291557328.0,2226799757.2,64757570.8
csb281,,2204475868.0,2188307485.2,16168382.8,,2204475868.0,2144652770.6,59823097.4
dreamcast,,2246891653.0,2231717791.9,15173861.1,,2246891653.0,2190533256.3,56358396.7
e7t,,2353621879.0,2336594824.7,17027054.3,,2353621879.0,2287312557.5,66309321.5
ea2468,,2906114198.0,2888690339.4,17423858.6,,2906114198.0,2833890321.0,72223877.0
eb40,,2175583569.0,2160071432.6,15512136.4,,2175583569.0,2112305355.9,63278213.1
eb40a,,2181032942.0,2165859219.5,15173722.5,,2181032942.0,2118295415.8,62737526.2
eb42,,2142544959.0,2127474720.0,15070239.0,,2142544959.0,2080314795.8,62230163.2
eb55,,2324801123.0,2309295591.0,15505532.0,,2324801123.0,2257309065.3,67492057.7
ebsa285,,2269216797.0,2252324494.9,16892302.1,,2269216797.0,2207086260.6,62130536.4
ec555,,2344769723.0,2327728028.0,17041695.0,,2344769723.0,2276193451.9,68576271.1
ecos-icse11,,2250481834.0,2235352843.4,15128990.6,,2250481834.0,2186627504.4,63854329.6
edb7xxx,,2217276013.0,2201147942.2,16128070.8,,2217276013.0,2156698418.7,60577594.3
edosk2674,,1968494586.0,1953992071.2,14502514.8,,1968494586.0,1913039827.5,55454758.5
excalibur_arm9,,2135943435.0,2122739467.0,13203968.0,,2135943435.0,2080898397.5,55045037.5
fads,,1916758219.0,1903167549.4,13590669.6,,1916758219.0,1860473238.5,56284980.5
flexanet,,2347318093.0,2330932654.7,16385438.3,,2347318093.0,2280204621.5,67113471.5
freebsd-icse11,,3420415512.0,3413354071.8,7061440.2,,3420415512.0,3369158594.0,51256918.0
frv400,,2211981203.0,2196742627.7,15238575.3,,2211981203.0,2149868332.8,62112870.2
gps4020,,2029602563.0,2015043710.2,14558852.8,,2029602563.0,1972085257.2,57517305.8
grg,,2209697117.0,2194008429.4,15688687.6,,2209697117.0,2149356267.2,60340849.8
h8300h_sim,,1876368947.0,1863168562.9,13200384.1,,1876368947.0,1822361415.1,54007531.9
h8max,,2010140875.0,1995436326.1,14704548.9,,2010140875.0,1953685578.4,56455296.6
h8s_sim,,1881398986.0,1867881345.5,13517640.5,,1881398986.0,1828695299.9,52703686.1
hs7729pci,,2532796273.0,2517005518.8,15790754.2,,2532796273.0,2472087181.6,60709091.4
innovator,,2296462599.0,2282617386.2,13845212.8,,2296462599.0,2244307863.9,52154735.1
integrator_arm7,,2303996467.0,2288055632.9,15940834.1,,2303996467.0,2240097731.1,63898735.9
integrator_arm9,,2353633751.0,2338252210.1,15381540.9,,2353633751.0,2298488292.4,55145458.6
ipaq,,2235839669.0,2220397858.2,15441810.8,,2235839669.0,2172487586.6,63352082.4
iq80310,,2311296100.0,2295051847.3,16244252.7,,2311296100.0,2247220512.3,64075587.7
iq80321,,2299716475.0,2283461463.7,16255011.3,,2299716475.0,2239406894.8,60309580.2
ixdp425,,2243567515.0,2228506086.6,15061428.4,,2243567515.0,2182596450.8,60971064.2
jmr3904,,1969247021.0,1955508676.0,13738345.0,,1969247021.0,1913944149.4,55302871.6
jtst,,2180990486.0,2165383450.9,15607035.1,,2180990486.0,2118117408.1,62873077.9
linux,,2119674243.0,2105195249.2,14478993.8,,2119674243.0,2064274624.8,55399618.2
lpcmt,,2224443992.0,2209108038.7,15335953.3,,2224443992.0,2160839523.1,63604468.9
m5272c3,,2685369531.0,2667974080.1,17395450.9,,2685369531.0,2617104077.2,68265453.8
mac7100evb,,2144382899.0,2129421300.6,14961598.4,,2144382899.0,2083364664.4,61018234.6
mace1,,2144382899.0,2130006086.4,14376812.6,,2144382899.0,2084761655.3,59621243.7
malta_mips32_4kc,,2163825724.0,2148670954.2,15154769.8,,2163825724.0,2103685663.0,60140061.0
malta_mips64_5kc,,2164003454.0,2148625513.5,15377940.5,,2164003454.0,2102964257.9,61039196.1
mb93091,,2270954302.0,2255521252.9,15433049.1,,2270954302.0,2207874624.0,63079678.0
mb93093,,2167539695.0,2152510838.8,15028856.2,,2167539695.0,2106784316.0,60755379.0
mbx,,2536831621.0,2519044325.3,17787295.7,,2536831621.0,2466892596.2,69939024.8
mcb2100,,2224443992.0,2208446846.7,15997145.3,,2224443992.0,2159599101.7,64844890.3
moab,,2427871099.0,2411557292.3,16313806.7,,2427871099.0,2361050805.1,66820293.9
mpc50,,2033280572.0,2018661016.9,14619555.1,,2033280572.0,1975279539.9,58001032.1
nano,,2372371616.0,2355106846.5,17264769.5,,2372371616.0,2307732413.0,64639203.0
npwr,,2312102550.0,2296220694.1,15881855.9,,2312102550.0,2248050401.9,64052148.1
ocelot,,2338414562.0,2322108684.7,16305877.3,,2338414562.0,2273293061.2,65121500.8
olpce2294,,2399140512.0,2381545357.1,17595154.9,,2399140512.0,2330358597.0,68781915.0
olpch2294,,2292436998.0,2276738346.0,15698652.0,,2292436998.0,2226636015.0,65800983.0
olpcl2294,,2393625083.0,2376802301.2,16822781.8,,2393625083.0,2326551743.0,67073340.0
p2106,,2224443992.0,2208681400.9,15762591.1,,2224443992.0,2158873170.2,65570821.8
pati,,2238542159.0,2222417803.3,16124355.7,,2238542159.0,2171673877.5,66868281.5
pc_i82544,,2328925905.0,2312616494.9,16309410.1,,2328925905.0,2261748993.7,67176911.3
pc_i82559,,2328925905.0,2312366351.8,16559553.2,,2328925905.0,2261248345.8,67677559.2
pc_rltk8139,,2351352372.0,2334998076.5,16354295.5,,2351352372.0,2287981684.3,63370687.7
pc_usb_d12,,2423516225.0,2407425438.7,16090786.3,,2423516225.0,2356251451.4,67264773.6
pc_vmWare,,2308780851.0,2293127516.4,15653334.6,,2308780851.0,2243491053.6,65289797.4
phycore,,2366208638.0,2350230502.5,15978135.5,,2366208638.0,2295943878.5,70264759.5
phycore229x,,2786022872.0,2766753361.9,19269510.1,,2786022872.0,2711068867.5,74954004.5
picasso,,2227486594.0,2212001324.1,15485269.9,,2227486594.0,2165872347.2,61614246.8
pid,,2109165647.0,2094488302.2,14677344.8,,2109165647.0,2048096878.6,61068768.4
prpmc1100,,2082469690.0,2067751119.7,14718570.3,,2082469690.0,2024226641.7,58243048.3
psim,,1888769032.0,1875383830.0,13385202.0,,1888769032.0,1835076045.5,53692986.5
rattler,,2676999306.0,2658704033.0,18295273.0,,2676999306.0,2602565638.1,74433667.9
ref4955,,2069226549.0,2054593911.4,14632637.6,,2069226549.0,2007696711.6,61529837.4
refidt334,,2379424764.0,2362751510.0,16673254.0,,2379424764.0,2318080892.1,61343871.9
sa1100mm,,2077907300.0,2063254553.4,14652746.6,,2077907300.0,2017795108.1,60112191.9
sam7ex256,,2662326906.0,2644697816.6,17629089.4,,2662326906.0,2593729481.1,68597424.9
se7751,,2488137801.0,2471983330.9,16154470.1,,2488137801.0,2423543260.1,64594540.9
sh4_202_md,,2297765722.0,2281760622.1,16005099.9,,2297765722.0,2237338177.1,60427544.9
sh7708,,2240180721.0,2226179297.3,14001423.7,,2240180721.0,2183303318.5,56877402.5
skmb91302,,2071479912.0,2056605686.2,14874225.8,,2071479912.0,2010996024.8,60483887.2
sleb,,1924944955.0,1910995843.7,13949111.3,,1924944955.0,1869733832.7,55211122.3
smdk2410,,2311181062.0,2296368340.9,14812721.1,,2311181062.0,2253311609.1,57869452.9
snds,,2074294853.0,2060029830.9,14265022.1,,2074294853.0,2019195039.7,55099813.3
sparc_erc32,,1825893980.0,1812489146.4,13404833.6,,1825893980.0,1772684512.2,53209467.8
sparc_leon,,1825893980.0,1812564997.6,13328982.4,,1825893980.0,1773532217.5,52361762.5
sparclite_sim,,1825893980.0,1812746490.1,13147489.9,,1825893980.0,1771966048.8,53927931.2
stb,,2256761500.0,2241062924.2,15698575.8,,2256761500.0,2190186915.8,66574584.2
stdeval1,,1935362237.0,1921673446.5,13688790.5,,1935362237.0,1877155438.4,58206798.6
stm3210e_eval,,2361789158.0,2344584971.0,17204187.0,,2361789158.0,2292757823.6,69031334.4
toybox,,60562959.0,60027996.2,534962.8,,60562959.0,59851645.0,711314.0
ts1000,,2554832936.0,2537664365.9,17168570.1,,2554832936.0,2483013826.6,71819109.4
ts6,,2232203938.0,2216142557.7,16061380.3,,2232203938.0,2168866450.1,63337487.9
tx39_sim,,1866324923.0,1852357320.5,13967602.5,,1866324923.0,1812156309.6,54168613.4
uClinux,,2463084284.0,2453640176.8,9444107.2,,2463084284.0,2431880930.4,31203353.6
uE250,,2233080660.0,2217888401.9,15192258.1,,2233080660.0,2172930391.1,60150268.9
vads,,2232203938.0,2216193589.5,16010348.5,,2232203938.0,2170445199.4,61758738.6
viper,,2573378491.0,2555703135.9,17675355.1,,2573378491.0,2503568503.7,69809987.3
vrc4373,,2221226554.0,2206041259.4,15185294.6,,2221226554.0,2157822947.7,63403606.3
vrc4375,,2318414527.0,2302332884.3,16081642.7,,2318414527.0,2254398848.1,64015678.9
