Instances,,,ScalableCA,,,,Alt-1,,,,Alt-2,,,,Alt-3,,,,Alt-4,,,,Alt-5,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
XSEngine,,526,544.6,1683.47,,526,544.6,2829.32,,581,629.8,10060.03,,769,791.4,834.56,,706,726.5,171222.85,,655,659.1,25297.28
aaed2000,,794,822.3,1648.31,,794,822.3,2920.08,,1005,1041.7,8519.63,,1192,1207.9,816.10,,1145,1162.5,171619.01,,998,1010.1,34421.57
adder,,515,543.8,2019.51,,515,543.8,3201.14,,591,634.6,11119.04,,804,819.5,900.50,,738,757.4,171489.91,,665,675.5,25322.61
adderII,,512,532.0,2031.37,,512,532.0,3320.07,,598,625.8,10694.70,,796,816.1,884.28,,732,753.5,170744.64,,668,679.0,27750.39
aeb,,497,515.2,1749.11,,497,515.2,2750.69,,533,574.1,8671.95,,767,777.5,718.08,,690,703.9,171281.83,,636,650.3,21527.15
aim711,,517,547.2,1807.09,,517,547.2,3026.70,,602,631.7,9735.45,,814,827.9,824.52,,748,765.2,170792.90,,672,682.1,27067.10
aki3068net,,525,534.0,1728.02,,525,534.0,2720.80,,588,632.4,8393.00,,795,812.9,724.91,,718,738.5,171162.31,,655,672.5,21265.05
am31_sim,,469,482.8,1418.36,,469,482.8,2363.32,,531,566.0,6579.98,,694,702.1,633.77,,607,616.3,171579.77,,577,586.4,15216.19
asb,,480,500.3,1637.80,,480,500.3,2708.69,,560,594.8,8470.49,,733,743.4,756.66,,658,669.5,171610.21,,599,610.0,21178.61
asb2305,,486,509.9,1498.83,,486,509.9,2670.97,,566,588.7,7770.89,,732,739.2,756.27,,657,668.6,171355.76,,601,608.7,21677.06
assabet,,488,509.3,1967.44,,488,509.3,3167.38,,553,608.3,9645.32,,767,774.5,834.91,,699,707.0,171776.30,,619,636.5,23717.59
at91sam7sek,,482,511.8,2090.24,,482,511.8,3369.43,,524,594.3,10418.49,,760,768.8,884.84,,697,707.8,171026.59,,626,639.3,22560.97
at91sam7xek,,541,559.0,2356.74,,541,559.0,3740.44,,575,638.5,11576.37,,822,830.4,941.04,,767,774.0,170979.24,,679,693.7,27738.08
atlas_mips32_4kc,,520,538.3,1756.27,,520,538.3,2830.24,,620,646.7,8661.94,,798,808.7,752.54,,722,740.4,171565.91,,663,672.9,23370.79
atlas_mips64_5kc,,525,540.9,1911.60,,525,540.9,2926.36,,616,642.2,8547.66,,785,803.5,753.16,,709,733.1,171332.32,,659,676.2,20593.11
axtls,,120,125.3,1.36,,120,125.3,1.47,,123,126.9,2.26,,152,155.4,0.64,,106,111.8,96.16,,145,148.8,3.52
brutus,,479,498.0,1640.93,,479,498.0,2683.17,,543,574.8,7899.42,,719,732.0,729.21,,641,655.3,170953.59,,591,604.2,19179.37
buildroot,,79,81.5,308.92,,79,81.5,325.12,,79,81.8,394.01,,94,96.0,86.67,,70,70.2,18383.33,,84,86.9,1923.82
busybox_1_28_0,,171,179.9,593.58,,171,179.9,615.30,,177,185.2,1378.73,,264,266.2,173.53,,144,145.2,167969.29,,214,220.0,5532.75
calm16_ceb,,480,496.5,1475.34,,480,496.5,2454.60,,540,592.8,6931.91,,724,734.6,628.97,,637,651.5,171802.02,,594,604.6,17760.06
calm32_ceb,,474,499.7,1460.38,,474,499.7,2401.36,,552,585.1,7208.40,,723,733.0,634.27,,637,648.4,171625.66,,598,609.8,19066.99
ceb_v850,,470,492.7,1599.35,,470,492.7,2541.78,,555,582.5,8038.98,,709,721.8,702.29,,627,641.3,171244.18,,592,602.9,18608.10
cerf,,533,562.7,2156.66,,533,562.7,3335.74,,592,654.4,10898.14,,848,853.4,886.70,,788,793.7,171483.53,,697,711.4,26573.93
cerfpda,,535,561.0,2407.06,,535,561.0,3596.73,,610,654.0,11627.32,,847,861.8,1016.62,,788,804.5,170721.98,,705,718.7,27415.03
cma230,,474,494.7,1760.13,,474,494.7,2715.72,,549,578.9,8320.49,,721,732.2,736.52,,640,655.6,171734.21,,595,603.7,21995.73
cma28x,,472,498.4,1523.90,,472,498.4,2516.05,,532,565.0,7821.13,,706,716.0,712.75,,626,635.4,171592.31,,585,592.9,20203.90
cme555,,486,507.6,1872.20,,486,507.6,3120.60,,557,583.9,9878.78,,733,739.5,856.05,,666,671.6,170682.97,,610,616.2,22943.60
cq7708,,667,695.5,1421.63,,667,695.5,2489.88,,812,859.7,8188.38,,973,982.3,705.45,,914,922.4,170901.18,,815,826.4,25258.02
cq7750,,530,541.2,1873.90,,530,541.2,3010.72,,609,646.1,8238.10,,787,793.6,814.73,,722,730.9,170992.36,,652,663.1,25086.14
csb281,,542,572.4,2016.87,,542,572.4,3118.79,,628,672.4,9670.58,,843,850.6,855.72,,780,787.0,171089.88,,697,713.2,23650.34
dreamcast,,588,608.0,1717.50,,588,608.0,2852.02,,672,728.5,9457.20,,879,891.2,804.75,,818,831.2,170781.75,,733,748.3,23222.10
e7t,,522,542.1,2238.22,,522,542.1,3429.66,,600,639.3,11302.70,,809,819.0,890.49,,748,757.5,170936.64,,662,680.4,25623.94
ea2468,,512,537.1,2499.14,,512,537.1,4213.95,,607,651.5,11222.30,,812,828.1,958.15,,762,779.8,170897.40,,674,684.6,30106.41
eb40,,478,505.0,1869.23,,478,505.0,2964.84,,576,599.9,8939.99,,748,756.3,791.62,,676,685.8,171332.95,,607,629.7,20741.91
eb40a,,486,511.7,1727.45,,486,511.7,2832.22,,564,578.6,9083.07,,750,758.0,776.86,,678,686.8,171693.87,,617,628.4,21336.43
eb42,,484,507.6,1638.87,,484,507.6,2653.92,,518,594.2,8725.34,,720,729.5,764.93,,645,656.0,171704.82,,606,613.3,20672.59
eb55,,490,502.8,2031.06,,490,502.8,3260.75,,549,590.3,9257.79,,755,765.1,801.44,,693,701.1,170888.44,,624,635.0,24806.50
ebsa285,,567,585.9,2156.67,,567,585.9,3264.97,,644,697.5,11072.67,,876,892.2,903.04,,811,829.6,171405.10,,721,743.0,25310.06
ec555,,471,498.4,2119.82,,471,498.4,3302.91,,553,586.2,9323.10,,723,744.8,862.83,,659,677.2,171651.09,,610,615.2,23192.33
ecos-icse11,,517,531.1,1771.75,,517,531.1,3070.73,,594,622.3,8156.75,,797,810.1,729.29,,728,742.8,171450.33,,658,672.5,21284.54
edb7xxx,,522,550.0,1931.04,,522,550.0,3093.15,,629,657.9,9749.95,,797,810.1,827.39,,734,746.1,170657.96,,665,677.2,21814.32
edosk2674,,507,531.6,1692.28,,507,531.6,2720.35,,607,634.0,8475.71,,763,780.6,718.09,,688,705.3,171708.06,,631,646.7,19661.33
excalibur_arm9,,670,712.5,1547.06,,670,712.5,2605.80,,818,847.6,8757.45,,1029,1038.7,721.01,,969,981.3,171523.06,,847,860.9,29021.47
fads,,452,487.1,1394.64,,452,487.1,2372.48,,539,572.4,7241.16,,695,701.4,661.12,,604,617.8,171841.79,,575,581.3,19360.06
flexanet,,550,574.2,2117.67,,550,574.2,3261.70,,635,660.7,10779.01,,853,859.3,885.91,,792,798.2,170951.60,,701,710.7,25362.55
freebsd-icse11,,589,616.0,1106.69,,589,616.0,1211.88,,657,712.5,8823.70,,877,884.3,558.66,,833,840.4,171060.46,,724,733.0,23410.20
frv400,,519,537.3,1887.60,,519,537.3,2989.59,,570,631.1,9877.81,,778,796.5,796.71,,710,729.0,171694.27,,654,663.3,22077.57
gps4020,,482,498.9,1637.34,,482,498.9,2721.82,,561,578.0,8547.18,,734,752.6,733.66,,653,676.5,171680.91,,604,620.6,20730.89
grg,,524,543.2,1826.25,,524,543.2,2915.57,,596,633.7,9383.47,,773,790.4,806.55,,705,724.6,171390.44,,648,657.3,22434.52
h8300h_sim,,479,493.2,1294.17,,479,493.2,2261.21,,547,585.0,6702.10,,693,705.5,642.34,,607,618.0,171116.31,,576,588.8,16986.85
h8max,,519,542.1,1647.71,,519,542.1,2693.73,,592,633.2,8536.67,,794,810.2,738.49,,722,736.3,171739.60,,664,674.0,21018.10
h8s_sim,,468,483.0,1515.30,,468,483.0,2519.90,,545,590.6,6970.31,,690,702.2,658.31,,608,617.9,171836.65,,569,582.8,16732.16
hs7729pci,,801,817.2,2071.76,,801,817.2,3419.67,,920,1013.7,10135.24,,1202,1218.9,905.83,,1157,1175.3,171286.74,,1010,1026.9,37489.19
innovator,,779,808.8,1734.81,,779,808.8,2954.36,,910,1001.0,8445.01,,1176,1196.2,786.36,,1126,1148.3,171378.65,,981,995.9,31411.92
integrator_arm7,,531,548.9,1851.58,,531,548.9,3057.31,,610,631.9,10010.82,,801,811.7,847.50,,741,748.5,171487.76,,669,679.2,24444.56
integrator_arm9,,700,728.2,1710.27,,700,728.2,2927.18,,864,914.7,10339.30,,1010,1021.5,849.14,,957,968.8,171283.58,,854,871.9,28003.23
ipaq,,491,504.7,1770.39,,491,504.7,2969.96,,548,589.9,9118.34,,737,758.4,790.43,,670,689.9,170948.17,,620,630.8,23208.03
iq80310,,512,533.2,1848.41,,512,533.2,3007.52,,588,634.4,9529.42,,780,793.4,841.01,,717,727.7,171506.09,,652,662.4,22634.35
iq80321,,519,539.0,2068.58,,519,539.0,3195.09,,605,642.3,9720.57,,787,792.8,841.71,,720,725.9,171563.46,,647,657.6,21570.66
ixdp425,,516,543.0,1666.69,,516,543.0,2771.76,,596,650.9,9168.90,,780,790.5,781.31,,717,725.6,171282.82,,649,662.8,22606.04
jmr3904,,494,501.3,1499.53,,494,501.3,2520.36,,563,585.4,7823.23,,730,736.8,681.91,,649,657.7,171406.70,,589,604.1,19344.80
jtst,,494,507.1,1899.10,,494,507.1,2976.39,,546,588.6,9432.94,,750,756.9,796.68,,679,687.0,171449.34,,622,628.1,23427.48
linux,,567,604.6,1700.65,,567,604.6,2793.67,,640,694.2,9321.88,,882,899.2,790.12,,815,834.9,171236.35,,744,753.8,23948.78
lpcmt,,483,505.4,1782.37,,483,505.4,2893.29,,572,609.3,9028.59,,744,753.3,778.47,,673,685.1,170819.51,,614,624.7,22746.99
m5272c3,,546,572.4,2344.01,,546,572.4,3752.48,,624,682.6,10537.61,,864,873.4,958.45,,810,820.4,170833.91,,718,733.0,27265.79
mac7100evb,,468,485.5,1839.00,,468,485.5,2899.81,,559,584.0,8580.96,,711,727.0,748.21,,640,653.5,171283.89,,595,600.5,21808.10
mace1,,483,498.5,1529.01,,483,498.5,2657.10,,533,562.3,8425.51,,714,726.2,722.23,,638,651.6,171636.53,,596,608.1,18891.19
malta_mips32_4kc,,530,569.4,1702.38,,530,569.4,2892.84,,623,664.2,8941.03,,810,814.7,784.86,,742,748.1,171436.07,,678,686.7,23606.18
malta_mips64_5kc,,521,549.3,1879.10,,521,549.3,3015.40,,624,656.9,9203.85,,804,816.7,789.49,,736,749.2,171578.97,,674,681.3,24624.94
mb93091,,517,540.4,1793.59,,517,540.4,2991.22,,600,629.2,10764.93,,782,793.3,818.67,,716,728.3,171063.71,,647,665.3,23227.45
mb93093,,505,539.0,1766.53,,505,539.0,2898.78,,598,617.0,9504.30,,785,793.8,781.91,,714,725.1,171607.52,,652,661.1,22808.03
mbx,,514,529.3,2281.79,,514,529.3,3570.77,,591,633.5,12249.01,,789,798.0,950.09,,724,737.6,170611.51,,660,664.6,25746.98
mcb2100,,484,502.7,1984.41,,484,502.7,3144.95,,533,585.3,9678.27,,737,750.9,813.65,,670,683.0,171002.78,,611,624.8,24187.25
moab,,531,564.8,2303.47,,531,564.8,3580.26,,621,661.2,11841.55,,866,874.5,897.15,,804,816.8,171086.33,,717,728.2,28402.97
mpc50,,474,499.7,1566.09,,474,499.7,2558.43,,546,586.8,8232.52,,705,716.5,718.05,,623,638.0,171118.09,,584,595.6,19921.35
nano,,560,590.6,2274.95,,560,590.6,3495.66,,648,684.9,11406.16,,891,898.6,941.18,,830,839.6,170141.63,,741,756.3,27645.76
npwr,,502,532.6,2038.43,,502,532.6,3128.35,,602,628.9,9739.74,,788,796.4,831.00,,719,731.2,171525.88,,655,663.9,22183.88
ocelot,,521,541.2,1939.87,,521,541.2,3175.78,,594,638.9,11110.87,,792,801.4,839.20,,728,738.6,170648.98,,659,673.1,24339.66
olpce2294,,514,546.1,2361.51,,514,546.1,3564.16,,613,648.6,11520.67,,825,844.0,926.85,,764,783.9,170764.18,,685,700.0,28932.69
olpch2294,,490,506.7,1899.44,,490,506.7,3063.18,,539,578.3,9650.91,,749,755.9,822.67,,678,688.2,171330.41,,616,627.7,24497.93
olpcl2294,,544,561.4,2046.70,,544,561.4,3272.89,,585,642.7,11045.70,,826,845.7,911.48,,760,783.8,171314.11,,692,702.9,26970.85
p2106,,488,508.6,1728.30,,488,508.6,2782.71,,530,592.8,9657.95,,739,755.5,810.30,,667,684.3,171184.76,,608,626.8,24804.22
pati,,483,497.0,2000.21,,483,497.0,3110.49,,556,601.6,9025.76,,735,742.3,823.09,,662,671.7,171651.38,,602,612.3,22198.39
pc_i82544,,526,556.3,2178.42,,526,556.3,3358.57,,606,651.0,10190.23,,837,848.6,856.98,,770,786.1,171145.44,,697,709.0,27846.46
pc_i82559,,537,557.4,2139.95,,537,557.4,3268.54,,607,643.9,10800.15,,843,856.2,864.75,,782,794.2,170667.29,,689,710.0,28623.88
pc_rltk8139,,583,597.3,2080.30,,583,597.3,3221.53,,655,690.7,11091.63,,890,907.8,893.89,,829,846.9,171789.62,,748,759.8,27554.87
pc_usb_d12,,488,515.4,2172.52,,488,515.4,3343.64,,577,606.3,10147.41,,773,786.7,870.67,,709,723.3,171222.82,,649,657.4,24448.92
pc_vmWare,,525,559.1,1841.73,,525,559.1,2969.37,,593,622.4,9770.71,,814,833.3,832.56,,751,769.8,170356.70,,671,688.4,26024.33
phycore,,485,510.5,2001.40,,485,510.5,3252.03,,504,581.5,10833.35,,744,761.4,823.30,,682,697.0,171640.71,,630,637.2,25652.72
phycore229x,,524,547.0,2491.26,,524,547.0,4065.37,,600,642.5,15264.15,,831,842.9,1037.70,,779,792.1,171032.99,,684,702.4,30908.73
picasso,,506,535.3,1828.65,,506,535.3,2955.52,,584,613.9,9633.38,,774,784.7,791.40,,711,719.0,170940.91,,636,651.4,22778.54
pid,,472,494.1,1706.64,,472,494.1,2820.84,,537,583.9,8343.53,,728,738.7,743.25,,656,664.8,171301.44,,590,609.9,21389.95
prpmc1100,,477,504.4,1574.57,,477,504.4,2583.79,,500,581.1,8531.07,,724,734.9,737.71,,644,658.8,171136.01,,593,611.0,18491.73
psim,,463,492.5,1327.30,,463,492.5,2286.52,,535,584.3,7057.82,,692,702.2,644.93,,610,617.6,170848.40,,572,585.5,18771.77
rattler,,570,593.2,2314.48,,570,593.2,3666.59,,653,686.0,13028.61,,877,887.9,1007.74,,825,835.1,171449.24,,723,735.6,31573.74
ref4955,,478,497.2,1707.79,,478,497.2,2792.53,,567,597.5,8225.30,,737,744.8,732.23,,658,669.8,171294.46,,609,624.4,20735.27
refidt334,,545,575.0,2162.69,,545,575.0,3351.70,,630,666.1,12565.45,,857,867.2,912.74,,796,807.1,170957.45,,720,731.5,28192.70
sa1100mm,,485,498.2,1668.42,,485,498.2,2668.13,,548,584.5,8314.71,,725,733.8,786.72,,648,658.0,171380.35,,601,609.5,21409.48
sam7ex256,,524,553.0,2141.08,,524,553.0,3520.32,,601,638.8,11529.97,,817,827.2,957.98,,763,774.9,169452.72,,681,694.6,27187.33
se7751,,586,614.0,2305.60,,586,614.0,3601.93,,689,722.6,10460.38,,917,934.2,889.98,,863,880.1,171361.33,,775,788.3,28158.19
sh4_202_md,,582,604.1,2127.70,,582,604.1,3308.51,,680,721.7,10160.52,,895,909.9,853.59,,837,851.0,170556.09,,755,763.6,26349.51
sh7708,,686,710.0,1728.07,,686,710.0,2853.29,,819,857.1,9491.69,,1015,1033.8,759.19,,960,977.2,170947.92,,851,863.3,28376.28
skmb91302,,472,494.9,1731.05,,472,494.9,2772.03,,548,586.1,8159.70,,718,735.5,739.47,,646,660.1,171066.65,,600,609.0,20901.51
sleb,,465,483.6,1568.05,,465,483.6,2551.90,,541,574.1,7274.27,,698,706.9,690.63,,613,621.9,171612.76,,576,587.6,18570.59
smdk2410,,685,726.3,1825.09,,685,726.3,3017.05,,823,870.4,8755.79,,1060,1070.5,804.18,,1006,1016.9,171124.56,,868,890.0,32936.97
snds,,509,534.6,1503.03,,509,534.6,2561.62,,568,605.8,8538.01,,765,773.3,718.82,,689,698.0,171817.88,,636,642.4,18134.17
sparc_erc32,,455,483.2,1512.77,,455,483.2,2426.82,,517,563.6,6956.05,,693,704.7,639.99,,603,620.0,171645.73,,570,582.6,17415.44
sparc_leon,,465,487.4,1429.08,,465,487.4,2354.81,,527,569.4,6801.06,,695,704.2,645.88,,611,616.3,171718.26,,573,584.7,16758.98
sparclite_sim,,470,485.0,1409.24,,470,485.0,2320.85,,545,577.6,6793.72,,695,704.9,631.78,,609,618.2,172114.91,,558,583.6,18502.63
stb,,493,508.0,1796.03,,493,508.0,2982.91,,559,596.9,8964.79,,755,766.9,793.86,,684,698.7,170937.62,,628,638.3,22834.29
stdeval1,,485,499.5,1560.73,,485,499.5,2538.73,,540,576.7,7865.16,,750,758.6,678.37,,671,678.0,171246.17,,616,627.2,21186.65
stm3210e_eval,,478,504.5,2031.72,,478,504.5,3236.40,,557,583.7,10144.85,,737,746.1,879.38,,672,679.7,171441.69,,616,622.6,22745.29
toybox,,46,48.8,9.15,,46,48.8,33.16,,49,51.1,20.18,,56,57.8,6.09,,41,41.4,5026.52,,48,49.0,18.01
ts1000,,503,533.7,2228.32,,503,533.7,3511.63,,562,618.6,11913.88,,784,797.1,924.53,,721,737.8,170584.86,,653,664.3,27457.42
ts6,,510,538.7,1898.02,,510,538.7,3024.22,,564,620.7,9885.66,,795,800.8,831.76,,719,734.9,171246.93,,655,664.7,24522.26
tx39_sim,,464,484.9,1451.68,,464,484.9,2402.22,,551,582.2,7406.59,,689,698.1,672.61,,604,613.2,170747.13,,572,582.3,18622.90
uClinux,,63,63.8,304.41,,63,63.8,943.27,,63,64.8,664.97,,68,69.1,239.25,,57,57.0,159581.14,,64,64.2,1142.31
uE250,,509,529.3,1795.23,,509,529.3,2919.91,,572,609.2,9061.72,,763,784.7,786.28,,698,717.3,171179.29,,639,654.0,22931.34
vads,,518,533.4,1960.94,,518,533.4,3117.80,,600,632.9,9543.42,,782,798.0,823.91,,713,730.6,171332.84,,659,669.7,22552.47
viper,,516,541.1,2231.74,,516,541.1,3564.87,,595,631.7,11312.64,,787,802.3,938.79,,731,743.2,171740.88,,660,667.1,26120.23
vrc4373,,487,509.3,1665.29,,487,509.3,2861.33,,538,583.1,9782.89,,739,748.1,761.06,,667,678.8,171154.28,,609,618.7,22061.76
vrc4375,,528,555.5,1873.03,,528,555.5,3037.48,,609,636.6,10991.83,,813,822.4,848.93,,748,758.3,171336.76,,667,686.7,25693.13
