Instances,,,ScalableCA's 3-wise CA,,,,SamplingCA's 3-wise CA,,,,CAmpactor's 3-wise CA,,,,SamplingCA's 2-wise CA,,,,CAmpactor's 2-wise CA,
,,avg 4-wise cov,avg 5-wise cov,avg 6-wise cov,,avg 4-wise cov,avg 5-wise cov,avg 6-wise cov,,avg 4-wise cov,avg 5-wise cov,avg 6-wise cov,,avg 4-wise cov,avg 5-wise cov,avg 6-wise cov,,avg 4-wise cov,avg 5-wise cov,avg 6-wise cov
XSEngine,,99.91%,99.09%,95.92%,,99.95%,99.55%,97.74%,,99.96%,99.50%,97.53%,,95.69%,86.70%,72.59%,,87.81%,71.96%,53.90%
aaed2000,,99.93%,99.33%,97.05%,,99.95%,99.63%,98.28%,,99.96%,99.62%,98.23%,,96.57%,89.41%,77.44%,,89.84%,76.05%,59.28%
adder,,99.91%,99.05%,95.81%,,99.95%,99.56%,97.80%,,99.96%,99.52%,97.63%,,95.68%,86.78%,72.73%,,87.72%,71.86%,53.80%
adderII,,99.90%,99.03%,95.70%,,99.95%,99.56%,97.82%,,99.96%,99.53%,97.64%,,95.74%,86.86%,72.82%,,87.62%,71.71%,53.63%
aeb,,99.90%,98.98%,95.57%,,99.95%,99.53%,97.66%,,99.95%,99.47%,97.40%,,95.62%,86.65%,72.66%,,87.31%,71.35%,53.40%
aim711,,99.91%,99.04%,95.77%,,99.95%,99.56%,97.77%,,99.96%,99.52%,97.60%,,95.82%,87.02%,73.14%,,87.58%,71.71%,53.73%
aki3068net,,99.90%,98.99%,95.67%,,99.95%,99.52%,97.66%,,99.95%,99.46%,97.42%,,95.70%,86.93%,73.15%,,87.47%,71.73%,53.87%
am31_sim,,99.90%,98.98%,95.52%,,99.95%,99.51%,97.54%,,99.95%,99.41%,97.13%,,95.45%,86.15%,71.86%,,87.14%,70.91%,52.80%
asb,,99.90%,99.00%,95.57%,,99.95%,99.52%,97.61%,,99.95%,99.46%,97.33%,,95.60%,86.61%,72.60%,,87.36%,71.33%,53.31%
asb2305,,99.91%,99.06%,95.80%,,99.95%,99.54%,97.70%,,99.95%,99.48%,97.44%,,95.64%,86.68%,72.74%,,87.37%,71.42%,53.50%
assabet,,99.91%,99.02%,95.70%,,99.95%,99.55%,97.75%,,99.96%,99.50%,97.52%,,95.69%,86.88%,73.14%,,87.45%,71.63%,53.79%
at91sam7sek,,99.90%,99.04%,95.78%,,99.95%,99.55%,97.78%,,99.96%,99.51%,97.60%,,95.71%,86.95%,73.26%,,87.44%,71.57%,53.73%
at91sam7xek,,99.91%,99.11%,96.02%,,99.96%,99.59%,97.92%,,99.96%,99.56%,97.77%,,95.83%,87.19%,73.53%,,87.88%,72.28%,54.46%
atlas_mips32_4kc,,99.90%,99.02%,95.76%,,99.95%,99.52%,97.69%,,99.95%,99.47%,97.47%,,95.65%,86.83%,73.03%,,87.79%,72.17%,54.33%
atlas_mips64_5kc,,99.90%,99.04%,95.82%,,99.95%,99.53%,97.71%,,99.95%,99.47%,97.46%,,95.57%,86.60%,72.64%,,87.87%,72.33%,54.53%
axtls,,98.50%,92.80%,81.98%,,99.05%,94.89%,86.00%,,98.16%,91.66%,79.95%,,83.80%,67.07%,49.79%,,79.38%,61.35%,44.17%
brutus,,99.90%,99.02%,95.64%,,99.95%,99.52%,97.62%,,99.95%,99.46%,97.33%,,95.60%,86.51%,72.41%,,87.33%,71.25%,53.21%
buildroot,,99.41%,91.12%,69.89%,,99.87%,95.91%,79.73%,,99.01%,88.48%,65.54%,,84.21%,59.39%,36.32%,,66.80%,40.99%,22.95%
busybox_1_28_0,,99.95%,98.72%,90.87%,,99.98%,99.70%,96.86%,,99.90%,97.75%,86.84%,,95.75%,81.22%,58.38%,,80.35%,55.06%,32.96%
calm16_ceb,,99.90%,98.99%,95.57%,,99.95%,99.51%,97.57%,,99.95%,99.43%,97.23%,,95.62%,86.60%,72.56%,,87.22%,71.08%,53.02%
calm32_ceb,,99.90%,99.00%,95.60%,,99.95%,99.52%,97.60%,,99.95%,99.44%,97.27%,,95.56%,86.47%,72.37%,,87.15%,71.02%,52.94%
ceb_v850,,99.90%,98.98%,95.51%,,99.95%,99.51%,97.56%,,99.95%,99.43%,97.20%,,95.45%,86.22%,71.97%,,87.26%,71.15%,53.06%
cerf,,99.90%,99.06%,95.94%,,99.95%,99.55%,97.83%,,99.95%,99.51%,97.67%,,95.76%,87.14%,73.59%,,88.02%,72.64%,54.94%
cerfpda,,99.90%,99.06%,95.92%,,99.95%,99.56%,97.86%,,99.96%,99.53%,97.71%,,95.69%,86.97%,73.31%,,88.10%,72.72%,55.02%
cma230,,99.90%,99.00%,95.61%,,99.95%,99.52%,97.62%,,99.95%,99.46%,97.35%,,95.50%,86.36%,72.26%,,87.13%,70.96%,52.90%
cma28x,,99.91%,99.02%,95.65%,,99.95%,99.51%,97.58%,,99.95%,99.43%,97.23%,,95.48%,86.20%,71.88%,,87.33%,71.20%,53.09%
cme555,,99.91%,99.02%,95.63%,,99.95%,99.52%,97.60%,,99.95%,99.46%,97.35%,,95.47%,86.24%,71.98%,,87.26%,71.13%,53.05%
cq7708,,99.92%,99.25%,96.67%,,99.95%,99.59%,98.05%,,99.96%,99.56%,97.93%,,96.20%,88.26%,75.43%,,89.01%,74.54%,57.43%
cq7750,,99.91%,99.08%,95.94%,,99.95%,99.56%,97.84%,,99.96%,99.52%,97.65%,,95.74%,86.99%,73.32%,,87.62%,71.94%,54.17%
csb281,,99.90%,99.06%,95.93%,,99.95%,99.52%,97.70%,,99.95%,99.47%,97.49%,,95.59%,86.74%,72.89%,,88.13%,72.78%,55.04%
dreamcast,,99.92%,99.19%,96.44%,,99.95%,99.57%,97.97%,,99.95%,99.53%,97.81%,,95.94%,87.64%,74.39%,,88.82%,73.95%,56.49%
e7t,,99.90%,99.00%,95.66%,,99.95%,99.55%,97.75%,,99.96%,99.51%,97.57%,,95.56%,86.56%,72.56%,,87.62%,71.84%,53.92%
ea2468,,99.92%,99.16%,96.29%,,99.96%,99.63%,98.14%,,99.97%,99.61%,98.04%,,96.24%,88.39%,75.78%,,88.98%,74.55%,57.58%
eb40,,99.90%,98.97%,95.50%,,99.95%,99.53%,97.65%,,99.95%,99.48%,97.41%,,95.52%,86.39%,72.27%,,87.25%,71.20%,53.19%
eb40a,,99.90%,99.00%,95.62%,,99.95%,99.52%,97.64%,,99.95%,99.46%,97.37%,,95.60%,86.58%,72.55%,,87.36%,71.42%,53.44%
eb42,,99.91%,99.05%,95.75%,,99.95%,99.53%,97.63%,,99.95%,99.46%,97.37%,,95.57%,86.47%,72.36%,,87.18%,70.99%,52.91%
eb55,,99.90%,98.98%,95.52%,,99.95%,99.55%,97.71%,,99.96%,99.50%,97.49%,,95.73%,86.87%,72.95%,,87.22%,71.16%,53.13%
ebsa285,,99.90%,99.06%,95.92%,,99.95%,99.53%,97.75%,,99.95%,99.49%,97.58%,,95.60%,86.84%,73.04%,,88.05%,72.70%,54.96%
ec555,,99.90%,98.97%,95.47%,,99.95%,99.53%,97.61%,,99.95%,99.47%,97.35%,,95.46%,86.21%,71.95%,,87.11%,70.88%,52.74%
ecos-icse11,,99.90%,99.00%,95.59%,,99.95%,99.54%,97.70%,,99.96%,99.49%,97.48%,,95.71%,86.71%,72.57%,,87.44%,71.36%,53.24%
edb7xxx,,99.91%,99.07%,95.96%,,99.95%,99.54%,97.76%,,99.95%,99.49%,97.55%,,95.67%,86.96%,73.32%,,88.05%,72.69%,55.05%
edosk2674,,99.90%,99.02%,95.76%,,99.95%,99.52%,97.65%,,99.95%,99.44%,97.35%,,95.57%,86.69%,72.82%,,87.72%,72.06%,54.23%
excalibur_arm9,,99.92%,99.23%,96.61%,,99.95%,99.59%,98.06%,,99.96%,99.57%,97.97%,,96.18%,88.26%,75.46%,,88.74%,74.11%,56.94%
fads,,99.91%,99.01%,95.61%,,99.95%,99.51%,97.55%,,99.95%,99.42%,97.18%,,95.52%,86.30%,72.05%,,87.05%,70.78%,52.67%
flexanet,,99.91%,99.09%,95.99%,,99.95%,99.55%,97.78%,,99.95%,99.50%,97.60%,,95.73%,87.01%,73.31%,,87.63%,71.99%,54.20%
freebsd-icse11,,99.98%,99.62%,97.54%,,99.98%,99.88%,99.07%,,99.99%,99.88%,99.02%,,97.89%,90.75%,76.05%,,90.56%,73.97%,53.35%
frv400,,99.91%,99.04%,95.73%,,99.95%,99.54%,97.70%,,99.96%,99.49%,97.47%,,95.65%,86.64%,72.51%,,87.55%,71.61%,53.55%
gps4020,,99.90%,98.98%,95.56%,,99.95%,99.53%,97.64%,,99.95%,99.46%,97.35%,,95.56%,86.55%,72.57%,,87.49%,71.60%,53.65%
grg,,99.91%,99.10%,95.98%,,99.95%,99.54%,97.72%,,99.96%,99.49%,97.49%,,95.60%,86.60%,72.54%,,87.84%,72.12%,54.13%
h8300h_sim,,99.91%,99.05%,95.74%,,99.95%,99.52%,97.62%,,99.95%,99.43%,97.21%,,95.57%,86.46%,72.35%,,87.31%,71.21%,53.16%
h8max,,99.90%,99.02%,95.76%,,99.95%,99.52%,97.69%,,99.95%,99.46%,97.42%,,95.56%,86.63%,72.72%,,87.75%,72.15%,54.33%
h8s_sim,,99.90%,99.01%,95.61%,,99.95%,99.52%,97.58%,,99.95%,99.42%,97.17%,,95.49%,86.30%,72.13%,,87.53%,71.58%,53.59%
hs7729pci,,99.93%,99.32%,97.02%,,99.95%,99.62%,98.26%,,99.96%,99.62%,98.21%,,96.37%,88.94%,76.72%,,89.52%,75.55%,58.69%
innovator,,99.92%,99.29%,96.92%,,99.95%,99.61%,98.22%,,99.96%,99.61%,98.17%,,96.44%,89.07%,76.87%,,89.91%,76.19%,59.46%
integrator_arm7,,99.91%,99.08%,95.96%,,99.95%,99.54%,97.75%,,99.95%,99.50%,97.58%,,95.75%,87.02%,73.28%,,87.74%,71.99%,54.07%
integrator_arm9,,99.93%,99.31%,96.88%,,99.95%,99.60%,98.08%,,99.96%,99.58%,97.98%,,96.05%,87.90%,74.77%,,89.43%,75.09%,57.82%
ipaq,,99.90%,99.00%,95.65%,,99.95%,99.54%,97.72%,,99.96%,99.49%,97.50%,,95.70%,86.90%,73.16%,,87.65%,72.02%,54.29%
iq80310,,99.91%,99.04%,95.75%,,99.95%,99.54%,97.68%,,99.95%,99.49%,97.46%,,95.58%,86.51%,72.31%,,87.70%,71.87%,53.81%
iq80321,,99.91%,99.07%,95.84%,,99.95%,99.53%,97.67%,,99.96%,99.49%,97.47%,,95.63%,86.64%,72.54%,,88.12%,72.50%,54.50%
ixdp425,,99.91%,99.11%,95.97%,,99.95%,99.55%,97.73%,,99.96%,99.50%,97.52%,,95.77%,86.93%,72.93%,,87.90%,72.22%,54.24%
jmr3904,,99.90%,99.01%,95.61%,,99.95%,99.53%,97.62%,,99.95%,99.45%,97.31%,,95.60%,86.53%,72.44%,,87.56%,71.67%,53.71%
jtst,,99.90%,98.98%,95.56%,,99.95%,99.53%,97.65%,,99.95%,99.47%,97.40%,,95.56%,86.51%,72.46%,,87.30%,71.25%,53.23%
linux,,99.91%,99.13%,96.26%,,99.95%,99.57%,97.94%,,99.95%,99.52%,97.75%,,95.90%,87.58%,74.43%,,88.64%,73.91%,56.67%
lpcmt,,99.90%,98.99%,95.58%,,99.95%,99.53%,97.65%,,99.95%,99.48%,97.42%,,95.68%,86.74%,72.79%,,87.38%,71.36%,53.38%
m5272c3,,99.91%,99.13%,96.19%,,99.96%,99.61%,98.05%,,99.96%,99.58%,97.92%,,96.02%,87.71%,74.36%,,88.63%,73.59%,55.98%
mac7100evb,,99.90%,99.00%,95.56%,,99.95%,99.55%,97.69%,,99.95%,99.48%,97.40%,,95.58%,86.47%,72.29%,,87.32%,71.18%,53.05%
mace1,,99.91%,99.05%,95.71%,,99.95%,99.54%,97.68%,,99.95%,99.48%,97.41%,,95.69%,86.66%,72.51%,,87.51%,71.44%,53.32%
malta_mips32_4kc,,99.91%,99.12%,96.07%,,99.95%,99.54%,97.74%,,99.95%,99.50%,97.55%,,95.71%,86.98%,73.23%,,87.81%,72.21%,54.37%
malta_mips64_5kc,,99.90%,99.06%,95.88%,,99.95%,99.54%,97.76%,,99.95%,99.50%,97.56%,,95.64%,86.80%,72.93%,,87.66%,71.94%,54.05%
mb93091,,99.91%,99.08%,95.82%,,99.95%,99.56%,97.77%,,99.96%,99.52%,97.56%,,95.69%,86.70%,72.53%,,87.59%,71.59%,53.46%
mb93093,,99.91%,99.05%,95.76%,,99.95%,99.55%,97.72%,,99.96%,99.50%,97.49%,,95.64%,86.60%,72.47%,,87.59%,71.66%,53.59%
mbx,,99.90%,99.02%,95.66%,,99.95%,99.56%,97.80%,,99.96%,99.53%,97.64%,,95.67%,86.71%,72.60%,,87.73%,71.87%,53.83%
mcb2100,,99.90%,98.98%,95.54%,,99.95%,99.53%,97.65%,,99.95%,99.47%,97.40%,,95.54%,86.46%,72.42%,,87.22%,71.14%,53.14%
moab,,99.90%,99.05%,95.87%,,99.95%,99.57%,97.87%,,99.96%,99.53%,97.72%,,95.86%,87.28%,73.62%,,87.88%,72.29%,54.41%
mpc50,,99.91%,99.05%,95.76%,,99.95%,99.52%,97.62%,,99.95%,99.45%,97.29%,,95.51%,86.36%,72.21%,,87.30%,71.16%,53.05%
nano,,99.90%,99.05%,95.94%,,99.95%,99.54%,97.80%,,99.95%,99.50%,97.64%,,95.69%,87.02%,73.36%,,88.14%,72.87%,55.19%
npwr,,99.91%,99.05%,95.76%,,99.95%,99.55%,97.74%,,99.96%,99.51%,97.52%,,95.67%,86.66%,72.51%,,87.64%,71.69%,53.55%
ocelot,,99.91%,99.09%,95.95%,,99.95%,99.55%,97.81%,,99.96%,99.51%,97.63%,,95.70%,86.87%,72.98%,,87.74%,72.00%,54.08%
olpce2294,,99.90%,99.00%,95.71%,,99.95%,99.55%,97.79%,,99.95%,99.51%,97.61%,,95.63%,86.84%,73.07%,,87.59%,71.91%,54.07%
olpch2294,,99.90%,99.00%,95.59%,,99.95%,99.54%,97.67%,,99.96%,99.48%,97.42%,,95.64%,86.65%,72.66%,,87.32%,71.26%,53.23%
olpcl2294,,99.90%,99.05%,95.88%,,99.95%,99.54%,97.77%,,99.95%,99.50%,97.59%,,95.71%,86.94%,73.17%,,87.76%,72.14%,54.32%
p2106,,99.90%,99.00%,95.62%,,99.95%,99.53%,97.66%,,99.95%,99.47%,97.41%,,95.60%,86.58%,72.60%,,87.13%,71.00%,53.00%
pati,,99.90%,98.98%,95.50%,,99.95%,99.52%,97.60%,,99.95%,99.46%,97.33%,,95.48%,86.26%,72.03%,,86.92%,70.58%,52.42%
pc_i82544,,99.90%,99.02%,95.73%,,99.95%,99.55%,97.78%,,99.96%,99.51%,97.61%,,95.65%,86.72%,72.69%,,87.44%,71.53%,53.51%
pc_i82559,,99.90%,99.02%,95.74%,,99.95%,99.55%,97.79%,,99.96%,99.51%,97.60%,,95.67%,86.83%,72.96%,,87.37%,71.39%,53.37%
pc_rltk8139,,99.90%,99.05%,95.87%,,99.95%,99.55%,97.82%,,99.96%,99.52%,97.66%,,95.78%,87.11%,73.33%,,88.13%,72.73%,54.90%
pc_usb_d12,,99.91%,99.00%,95.54%,,99.95%,99.55%,97.70%,,99.96%,99.50%,97.50%,,95.73%,86.73%,72.58%,,87.50%,71.35%,53.13%
pc_vmWare,,99.91%,99.06%,95.82%,,99.95%,99.56%,97.77%,,99.96%,99.52%,97.58%,,95.73%,86.83%,72.77%,,87.49%,71.50%,53.37%
phycore,,99.91%,99.00%,95.57%,,99.95%,99.54%,97.69%,,99.96%,99.50%,97.49%,,95.71%,86.75%,72.70%,,86.98%,70.70%,52.58%
phycore229x,,99.91%,99.09%,96.08%,,99.95%,99.59%,97.99%,,99.96%,99.56%,97.87%,,95.91%,87.68%,74.65%,,88.33%,73.40%,56.11%
picasso,,99.91%,99.09%,95.93%,,99.95%,99.55%,97.75%,,99.96%,99.51%,97.54%,,95.69%,86.88%,73.02%,,87.77%,72.05%,54.11%
pid,,99.90%,99.00%,95.59%,,99.95%,99.53%,97.64%,,99.95%,99.46%,97.37%,,95.59%,86.56%,72.54%,,87.24%,71.19%,53.18%
prpmc1100,,99.91%,99.05%,95.76%,,99.95%,99.53%,97.66%,,99.95%,99.47%,97.38%,,95.59%,86.56%,72.48%,,87.51%,71.52%,53.46%
psim,,99.91%,99.03%,95.65%,,99.95%,99.51%,97.54%,,99.95%,99.41%,97.13%,,95.52%,86.30%,72.03%,,87.35%,71.20%,53.08%
rattler,,99.91%,99.07%,95.94%,,99.95%,99.56%,97.86%,,99.96%,99.53%,97.73%,,95.82%,87.16%,73.37%,,87.80%,72.08%,54.11%
ref4955,,99.90%,98.96%,95.45%,,99.95%,99.51%,97.57%,,99.95%,99.44%,97.27%,,95.52%,86.33%,72.13%,,87.00%,70.72%,52.62%
refidt334,,99.91%,99.06%,95.89%,,99.95%,99.56%,97.83%,,99.96%,99.52%,97.67%,,95.74%,86.97%,73.08%,,88.46%,73.16%,55.34%
sa1100mm,,99.90%,99.02%,95.67%,,99.95%,99.53%,97.66%,,99.95%,99.46%,97.37%,,95.58%,86.53%,72.48%,,87.25%,71.14%,53.10%
sam7ex256,,99.91%,99.11%,96.05%,,99.96%,99.59%,97.95%,,99.96%,99.56%,97.81%,,95.88%,87.38%,73.92%,,88.49%,73.36%,55.78%
se7751,,99.91%,99.15%,96.32%,,99.95%,99.60%,98.06%,,99.96%,99.57%,97.94%,,96.05%,87.92%,74.87%,,88.61%,73.78%,56.43%
sh4_202_md,,99.91%,99.13%,96.25%,,99.95%,99.58%,97.98%,,99.96%,99.55%,97.84%,,95.86%,87.45%,74.13%,,88.48%,73.48%,56.02%
sh7708,,99.92%,99.23%,96.60%,,99.95%,99.60%,98.09%,,99.96%,99.58%,97.98%,,96.19%,88.29%,75.53%,,88.88%,74.35%,57.23%
skmb91302,,99.90%,98.97%,95.48%,,99.95%,99.52%,97.60%,,99.95%,99.45%,97.31%,,95.47%,86.20%,71.92%,,87.17%,70.98%,52.89%
sleb,,99.90%,98.98%,95.48%,,99.95%,99.52%,97.55%,,99.95%,99.43%,97.18%,,95.45%,86.13%,71.75%,,87.22%,70.95%,52.74%
smdk2410,,99.92%,99.20%,96.48%,,99.95%,99.59%,98.02%,,99.96%,99.57%,97.93%,,96.05%,87.95%,75.08%,,88.98%,74.53%,57.53%
snds,,99.91%,99.11%,95.99%,,99.95%,99.55%,97.75%,,99.95%,99.49%,97.49%,,95.76%,86.99%,73.14%,,88.15%,72.66%,54.79%
sparc_erc32,,99.90%,98.98%,95.50%,,99.95%,99.49%,97.49%,,99.95%,99.39%,97.05%,,95.42%,86.10%,71.77%,,87.17%,71.01%,52.93%
sparc_leon,,99.90%,99.00%,95.56%,,99.95%,99.50%,97.52%,,99.95%,99.40%,97.08%,,95.41%,86.08%,71.70%,,87.32%,71.21%,53.12%
sparclite_sim,,99.90%,98.99%,95.53%,,99.95%,99.51%,97.53%,,99.95%,99.40%,97.10%,,95.50%,86.31%,72.07%,,87.03%,70.77%,52.62%
stb,,99.90%,98.98%,95.52%,,99.95%,99.53%,97.66%,,99.96%,99.48%,97.43%,,95.57%,86.42%,72.30%,,87.05%,70.81%,52.74%
stdeval1,,99.89%,98.93%,95.37%,,99.95%,99.52%,97.59%,,99.95%,99.44%,97.27%,,95.55%,86.40%,72.22%,,86.95%,70.69%,52.61%
stm3210e_eval,,99.90%,98.98%,95.50%,,99.95%,99.53%,97.63%,,99.95%,99.48%,97.39%,,95.45%,86.14%,71.77%,,87.07%,70.75%,52.54%
toybox,,99.85%,99.23%,97.80%,,99.90%,99.49%,98.47%,,99.80%,99.04%,97.35%,,96.67%,92.47%,86.72%,,95.80%,90.88%,84.39%
ts1000,,99.91%,99.03%,95.70%,,99.95%,99.56%,97.79%,,99.96%,99.53%,97.62%,,95.78%,86.90%,72.82%,,87.52%,71.47%,53.33%
ts6,,99.90%,99.04%,95.77%,,99.95%,99.54%,97.72%,,99.95%,99.49%,97.51%,,95.59%,86.56%,72.46%,,87.59%,71.72%,53.72%
tx39_sim,,99.90%,99.01%,95.60%,,99.95%,99.51%,97.57%,,99.95%,99.42%,97.19%,,95.37%,86.02%,71.71%,,87.20%,71.05%,52.99%
uClinux,,99.95%,99.56%,98.35%,,99.97%,99.74%,98.92%,,99.92%,99.40%,97.92%,,97.95%,94.39%,88.84%,,95.18%,89.18%,81.25%
uE250,,99.91%,99.06%,95.82%,,99.95%,99.54%,97.73%,,99.96%,99.50%,97.51%,,95.70%,86.79%,72.83%,,88.01%,72.43%,54.54%
vads,,99.90%,99.02%,95.71%,,99.95%,99.54%,97.73%,,99.95%,99.49%,97.52%,,95.58%,86.53%,72.40%,,87.75%,71.98%,53.97%
viper,,99.91%,99.05%,95.77%,,99.95%,99.56%,97.79%,,99.96%,99.52%,97.62%,,95.72%,86.82%,72.78%,,87.86%,72.07%,54.04%
vrc4373,,99.91%,99.04%,95.68%,,99.95%,99.55%,97.72%,,99.96%,99.50%,97.49%,,95.68%,86.71%,72.64%,,87.30%,71.14%,53.03%
vrc4375,,99.91%,99.08%,95.92%,,99.95%,99.56%,97.82%,,99.96%,99.52%,97.63%,,95.72%,86.89%,72.94%,,87.77%,72.00%,54.00%
